ï»¿"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"13-JUL-2026","RICHA","Richa Info Systems Ltd","DEEPA SANDEEP DHAM","SELL","74,000","93.00","-"
"13-JUL-2026","SHANTI","Shanti Overseas (Ind) Ltd","IMC INDIA SECURITIES PRIVATE LIMITED","BUY","58,373","6.86","-"
"13-JUL-2026","SKMEGGPROD","SKM Egg Products Export","HRTI PRIVATE LIMITED","BUY","2,34,760","355.73","-"
"13-JUL-2026","SKMEGGPROD","SKM Egg Products Export","HRTI PRIVATE LIMITED","SELL","2,65,802","355.43","-"
"13-JUL-2026","SKMEGGPROD","SKM Egg Products Export","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","3,34,018","358.12","-"
"13-JUL-2026","SKMEGGPROD","SKM Egg Products Export","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","3,36,873","358.29","-"
"13-JUL-2026","SONATSOFTW","Sonata Software Ltd","MICROCURVES TRADING PRIVATE LIMITED","SELL","23,36,032","319.18","-"
"13-JUL-2026","SONATSOFTW","Sonata Software Ltd","MICROCURVES TRADING PRIVATE LIMITED","BUY","23,36,032","319.04","-"
"13-JUL-2026","SUMEET-RE","Sumeet Industries Ltd","AJAY MITTAL","BUY","10,00,000","2.48","-"
"13-JUL-2026","SUMEET-RE","Sumeet Industries Ltd","MANSI SHARE AND STOCK BROKING PRIVATE LIMITED","BUY","10,00,000","2.48","-"
"13-JUL-2026","SUMEET-RE","Sumeet Industries Ltd","PADMINI POLYTEX PRIVATE LIMITED","SELL","80,00,000","2.48","-"
"13-JUL-2026","SUMEET-RE","Sumeet Industries Ltd","PRIJAL TRADEFIN LLP","SELL","1,00,000","2.40","-"
"13-JUL-2026","SUMEET-RE","Sumeet Industries Ltd","PRIJAL TRADEFIN LLP","BUY","10,00,000","2.48","-"
"13-JUL-2026","SVLL","Shree Vasu Logistics Ltd","B D PLYWOODS PRIVATE LIMITED","SELL","57,501","677.55","-"
"13-JUL-2026","ZENSARTECH","Zensar Technologies -Depo","HRTI PRIVATE LIMITED","SELL","18,49,127","529.79","-"
"13-JUL-2026","ZENSARTECH","Zensar Technologies -Depo","HRTI PRIVATE LIMITED","BUY","19,53,936","532.57","-"
"13-JUL-2026","ZENSARTECH","Zensar Technologies -Depo","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","16,74,292","530.25","-"
"13-JUL-2026","ZENSARTECH","Zensar Technologies -Depo","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","16,75,876","530.48","-"
"13-JUL-2026","ZENSARTECH","Zensar Technologies -Depo","MICROCURVES TRADING PRIVATE LIMITED","SELL","16,86,682","535.28","-"
"13-JUL-2026","ZENSARTECH","Zensar Technologies -Depo","MICROCURVES TRADING PRIVATE LIMITED","BUY","16,86,682","534.98","-"
"13-JUL-2026","ZENSARTECH","Zensar Technologies -Depo","QE SECURITIES LLP","SELL","11,19,044","532.18","-"
"13-JUL-2026","ZENSARTECH","Zensar Technologies -Depo","QE SECURITIES LLP","BUY","11,52,318","534.55","-"
"14-JUL-2026","AASTHA","Aastha Spintex Limited","RATHOD DIGVIJAYSINH RAJENDRASINH","BUY","2,50,000","135.45","-"
"14-JUL-2026","AASTHA","Aastha Spintex Limited","RATHOD DIGVIJAYSINH RAJENDRASINH","SELL","2,92,579","135.46","-"
"14-JUL-2026","AASTHA","Aastha Spintex Limited","TRADE PULSE BROKING PRIVATE LIMITED","BUY","3,00,000","135.45","-"
"14-JUL-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","SELL","12,63,124","347.54","-"
"14-JUL-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","BUY","12,63,877","347.23","-"
"14-JUL-2026","ATALREAL","Atal Realtech Limited","ACHINTYA SECURITIES LIMITED","BUY","7,00,000","29.00","-"
"14-JUL-2026","ATALREAL","Atal Realtech Limited","ALTIZEN VENTURES LLP","BUY","10,04,565","28.76","-"
"14-JUL-2026","ATALREAL","Atal Realtech Limited","ALTIZEN VENTURES LLP","SELL","22,24,053","28.87","-"
"14-JUL-2026","ATALREAL","Atal Realtech Limited","HRTI PRIVATE LIMITED","SELL","3,18,128","28.78","-"
"14-JUL-2026","ATALREAL","Atal Realtech Limited","HRTI PRIVATE LIMITED","BUY","8,77,288","28.92","-"
"14-JUL-2026","ATALREAL","Atal Realtech Limited","VANITA SANJAY BANSAL","SELL","7,22,000","28.97","-"
"14-JUL-2026","BIOCON","Biocon Limited","ICICI PRUDENTIAL MUTUAL FUND","BUY","1,84,37,500","400.00","-"
"14-JUL-2026","BIOCON","Biocon Limited","MYLAN INC.","SELL","4,59,83,509","400.00","-"
"14-JUL-2026","COUNCODOS","Country Condo's Limited","AMIT KUMAR JAIN","SELL","3,49,186","7.53","-"
"14-JUL-2026","COUNCODOS","Country Condo's Limited","AMIT KUMAR JAIN","BUY","4,28,607","7.53","-"
